Date,Occurrence,Startup Name,Industry,Description,Location,Investors,Investment Type,Amount in USD,Website URL
02/01/2020,01/01/1900,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000,https://fashor.com/
02/01/2020,01/01/1900,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000,
20/12/2019,01/01/1900,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000,http://www.lenskart.com/
17/12/2019,04/01/1900,Healthians,B2B SaaS,Healthcare,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000,http://www.healthians.com/
16/12/2019,01/01/1900,InCred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,5900000,http://www.incred.com/
16/12/2019,04/01/1900,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,30000000,http://www.licious.in/
14/12/2019,02/01/1900,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Round,2000000,https://trell.co/
13/12/2019,04/01/1900,Rivigo,Logistics,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000,http://rivigo.com/
12/12/2019,01/01/1900,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000,https://ecozensolutions.com/
11/12/2019,01/01/1900,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000,https://www.reingames.com/
06/12/2019,04/01/1900,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000,http://www.cardekho.com/
03/12/2019,01/01/1900,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,50000000,https://www.dhruvaspace.com/
25/11/2019,07/01/1900,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round ,1000000000,https://paytm.com/
20/11/2019,01/01/1900,Aye Finance ,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411265,http://www.ayefin.com/
20/11/2019,01/01/1900,Clumio,B2B SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000,http://www.clumio.com/
19/11/2019,01/01/1900,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220000000,http://www.digitalmallofasia.com/
19/11/2019,01/01/1900,Furtados School of Music,Education,Music Education,Tulangan, IAN Fund and DSG Consumer Partners,,200000000,http://furtadosschoolofmusic.com/
18/11/2019,04/01/1900,Healthians,B2B SaaS,Healthcare services ,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000,http://www.healthians.com/
